isc,Voc,iMPP,VMPP,iMPPx,iOCx,FF,PCE,iaug_MPP,irad_MPP,isrh_MPP,isII_MPP,isIII_MPP,iaug_OC,irad_OC,isrh_OC,isII_OC,isIII_OC
312.4673,0.972838228839556,249.59162,0.345,-0.725543999999999,-1.08404860000001e-06,0.283272158505806,8.61091089,0.038229303,4.98614785,0.059009062,57.8313985,2.65606235e-05,0.8653243,50.3513836,0.590580036,260.694788,0.00431255528
358.5386,0.964393625967912,335.5833,0.5,-0.571733999999992,-0.000307259200000001,0.485266258589939,16.779165,0.0003369018,0.4288317,0.004208661,22.54884,0.0004160448,0.50890492,33.380672,0.096084464,324.3655,0.21494568
165.5003,0.918095786295237,81.419816,0.465,-0.175341599999996,-0.00268810480000002,0.249170308539941,3.786021444,4.325426,0.0014737594,0.018900288,0.0124521616,80.089806,13.3345572,0.00320243684,0.0221133936,36.7128952,115.797564
207.4506,0.925049204499675,131.104093,0.369,-0.356003000000001,-0.0839976023999996,0.252094335468466,4.8377410317,0.606755143,0.0621898339,0.0207579502,1.729757363e-05,79.7291204,9.70915368,0.216199492,0.0343253848,19.790016,181.853044
154.4631,1.23789007656308,72.065944,0.534,-0.134703999999999,-0.00561482079999997,0.201263262683138,3.8483214096,0.00201151196,0.031207044,0.00161626976,7.40752552e-07,82.724742,0.029223334,0.172427376,0.00881109796,15.4593252,139.156312
262.2208,0.961029156241802,191.577827,0.391,-0.488903000000008,-0.00283616800000001,0.297247560133079,7.4906930357,55.1148742,0.00254927176,1.49120155,0.01537661124,14.59579111,114.512768,0.003901952,1.96386324,0.0229311344,146.296924
158.1694,0.769846261475343,146.9218,0.575,-0.234861999999993,-1.70545672,0.693789324313098,8.4480035,0.0608096200000001,0.1982956,0.04534297,10.56775,0.382937700000001,0.12731924,0.44131066,0.11564962,87.068528,70.6861639999999
252.7017,1.25865265514236,236.5357,0.675,-0.439239999999998,-7.06090199999925e-06,0.501979995629778,15.96615975,0.01520864,0.0003211191,3.847075e-07,16.15033,9.392183e-05,0.912688128,0.00255318744,3.05613844e-06,251.725768,0.0607251848
321.4061,1.00420058511223,214.83286,0.496,-0.433940000000007,-0.682617759999924,0.330147339220688,10.655709856,2.57511112,0.0203001368,0.0646343372,2.8602484e-08,103.9282688,69.052598,0.24883162,0.794396,7.0490756,244.82198
192.6607,0.985914349290017,179.8734,0.875,-0.22153999999999,-6.1063732,0.828595700528506,15.7389225,0.002171284,8.60729999999999,0.00466607999999999,0.0915612699999998,4.08154999999999,0.1242338744,127.7089976,0.0454489104,7.45476048,57.8502644
288.2589,1.32628163559755,151.179472,0.429,-0.352432000000007,-1.009148e-05,0.169641316907681,6.4855993488,0.0172203896,7.3172586,189.263288,3.4536958e-06,2.54975012,0.059181698,18.2047392,299.1879,29.3535984,3.52154696
251.1879,1.12940878061305,234.317672,1.023,-0.228836000000015,-10.4503135999989,0.844949595969417,23.9706978456,7.25808288,1.9767698,0.0015368726,2.434412456,5.19999676,75.8418959999998,6.87484119999999,0.00469930539999999,156.879359999999,17.765566
184.1829,0.85016381718853,151.261768,0.541,-0.279752000000002,-1.14023077599998,0.522606146298269,8.1832616488,0.186458996,32.7699852,0.002083804,0.047815292,0.221458312,1.88811664,92.5704216000001,0.00405984624,43.8228811999998,47.1575175999998
284.1237,0.73993648316977,265.579632,0.488,-0.545335999999992,-0.0313220920000001,0.616471046433359,12.9602860416,6.90304712e-05,0.000327529012,0.000129322592,18.46097,0.0831847076,0.00036589774,0.00093602572,0.0003608556,283.87498,0.2496284
306.3279,1.19693141947126,165.745388,0.736,-0.225191999999993,-0.000415213479999998,0.332708154984806,12.1988605568,0.0592490532,20.6568412,0.88826528,0.467177119999998,154.359196,0.156874448,37.7542648,1.21853644,94.6081284,208.43834
153.7445,0.898321583055772,84.84707,0.675,-0.127512000000003,-1.342947,0.414676285630583,5.727177225,0.9370856,0.01808012,1.73478,0.001120662,122.7189,19.1790634,0.122301858,9.41869463999999,6.58754243999998,175.860488
350.3579,0.875205076540089,298.95278,0.593,-0.50394,-2.99269969999997,0.578143366561928,17.727899854,1.026650896,40.0346936,0.0834286052,0.0230219024,10.58392324,3.96593204,94.7200728000001,0.130551,96.9987311999997,157.26818
356.1149,0.993993507673525,332.71494,0.72,-0.462568000000005,-0.2696414,0.676754428075645,23.95547568,1.04358565999999e-08,5.05777779999998e-05,2.22300139999999e-06,0.0603065579999998,23.3412599999999,5.2127898e-07,0.000333264068,1.26677084e-05,2.75039312,353.367544
236.7027,0.477694736886475,168.937108,0.271,-0.624251999999998,-1.65118384,0.404893381741421,4.5781956268,3.72453635e-07,0.3205764,5.39316756e-06,67.7447014,0.2100485374,1.17893368e-06,2.0002538,3.36518256e-05,185.524688,50.1915664000001
231.0498,0.996014256670601,206.0381,0.875,-0.23199000000001,-5.12961280000001,0.783401570046136,18.02833375,1.357763,12.03763,8.37447299999999,1.542993,1.725772,4.03993652,27.8942816,15.2631456,3.0123502,185.9218044
283.7203,0.971667561934698,259.1493,0.575,-0.417994000000022,-0.00578150880000002,0.540517513019049,14.90108475,0.00741812100000001,0.2107727,0.07718196,21.35998,2.96713700000001,0.0240139392,0.459745096,0.150824556,172.961608,110.177612
194.438,1.01279088843177,159.1385,0.825,-0.184504000000004,-1.47027159999984,0.66669665772431,13.12892625,0.00704148899999999,23.61357,2.563084,0.439105799999999,8.686874,0.0283096544,54.9849916,4.27491792,117.4266272,18.040772
187.4845,0.94609070649163,106.136692,0.414,-0.256771999999998,-8.33064079999996e-05,0.24772380581229,4.3940590488,13.4132108,0.0199615652,0.00124920624,6.10018876e-05,103.883976,94.3931364,0.06717187,0.0042035894,0.00295238636,128.987736
188.4946,0.927210992137974,98.5597596,0.284,-0.348223099999991,-6.54747239999997e-06,0.160154996010447,2.79909717264,118.7962872,13.1860524,0.00343673684,24.025906,0.548563576,203.268664,16.9264184,0.00440128208,28.7457132,6.17486088
229.1835,1.16376702967759,215.372184,0.587,-0.366968,-0.187399320000001,0.473999972675609,12.6423472008,5.93933964e-07,0.00585541188,0.000606976208,13.80490068,4.49167772e-07,5.2786876e-05,0.0482012988,0.00390357532,223.408484,5.76661308000001
335.0087,1.25458282869008,318.7087,0.925,-0.439548000000002,-0.00600325079999936,0.701423362419529,29.48055475,3.690739,0.01241748,10.4422,1.911131,0.2447564,198.1806,0.17784702,81.186886,52.26439,3.2027406
344.7842,0.475974850052243,299.4313,0.3,-0.889708999999982,-2.926686,0.547377685741294,8.982939,2.703249e-09,5.231995e-06,5.470908e-05,0.3630313,45.46499,2.68804476e-08,1.155150816e-05,0.0001197028896,77.2136664000001,268.119212
170.504,0.769250424939934,147.8135,0.575,-0.26802600000002,-1.59926132,0.648006897315812,8.49927625,19.84615,1.886903,0.01352233,0.541681000000002,0.419111100000001,102.60853,3.977888,0.02319588,52.6775379999999,12.4325294
177.2197,1.20825906557753,169.896,1.075,-0.196601999999984,-2.07954760000001,0.852942115357618,18.26382,0.009144886,1.504275,1.737914,3.827898,0.2448812,0.1047382328,5.98703116,6.76457384,164.9334,0.971541264
270.9222,1.15028608956256,250.9367,0.675,-0.366978000000003,-0.000170049090800001,0.543522458232657,16.93822725,0.001895941,0.2238013,0.007302923,11.64153,8.114664,0.00448958372,0.287686392,0.009408119,157.12958,113.494788
349.5223,1.06253617470585,320.3404,0.75,-0.505884000000009,-0.0596964079999997,0.646925637672222,24.02553,1.321476,1.103989,0.5207856,6.75766099999998,19.52231,2.79975164,1.45067092,0.865256736,151.367156,193.111412
176.4206,0.856703924571513,161.4106,0.5,-0.2898,-0.455509600000002,0.533976328663144,8.07053,2.828053e-05,0.02324708,0.005606811,15.16023,9.911257e-06,0.0755212439999993,1.65502355999999,0.376405331999999,173.33768,1.28995743199999
183.1217,0.742198450689841,91.36507,0.475,-0.190894999999998,-0.366991720000001,0.31931104864519,4.339840825,0.01510564,102.3821,0.7336808,1.588105e-05,26.10367,0.0279252872,166.286204,0.992278256,0.00352374944,53.5839188
155.9527,1.21810712365594,92.63271,0.675,-0.138378199999991,-3.61435760000002e-05,0.329146894140454,6.252707925,0.3725583,1.585036,0.3054826,61.15554,6.055002e-08,18.6422688,23.553134,1.73119116,112.124556,0.000233505416
303.2043,1.10187097253822,243.85842,0.52,-0.469123999999994,-0.00219147951999999,0.379555248190294,12.68063784,58.044338,0.011821504,0.2924879,0.001685214,1.03025646,243.133616,0.0269440584,0.371303676,51.7597108,7.947726
